bairro,tipo,quartos,n_airbnb(preço),n_vivareal,diaria_tipica,preco_compra_est,receita_cons,receita_base,receita_otim,retorno_cons(%),retorno_base(%),retorno_otim(%),confianca
Morretes,apartamento,3,10,155.0,611.0,845000.0,62068.0,86123.0,114919.0,7.35,10.19,13.6,AIRBNB_BAIXA / COMPRA_RAZOAVEL
Morretes,apartamento,2,51,1037.0,464.0,790000.0,44322.0,62675.0,84780.0,5.61,7.93,10.73,AIRBNB_RAZOAVEL / COMPRA_RAZOAVEL
Tabuleiro dos Oliveiras,apartamento,2,12,110.0,425.0,780470.0,42969.0,60113.0,80516.0,5.51,7.7,10.32,AIRBNB_BAIXA / COMPRA_RAZOAVEL
Casa Branca,apartamento,2,11,20.0,350.0,655000.0,35275.0,49369.0,66143.0,5.39,7.54,10.1,AIRBNB_BAIXA / COMPRA_RAZOAVEL
Meia Praia,apartamento,1,20,58.0,441.0,877500.0,47405.0,66086.0,88936.0,5.4,7.53,10.14,AIRBNB_BAIXA / COMPRA_RAZOAVEL
Centro,apartamento,1,78,22.0,445.0,890000.0,44371.0,62007.0,83387.0,4.99,6.97,9.37,AIRBNB_RAZOAVEL / COMPRA_RAZOAVEL
Centro,apartamento,2,65,89.0,580.0,1150000.0,55186.0,78289.0,106000.0,4.8,6.81,9.22,AIRBNB_RAZOAVEL / COMPRA_RAZOAVEL
Meia Praia,apartamento,2,187,243.0,450.0,1080000.0,45806.0,64025.0,85827.0,4.24,5.93,7.95,AIRBNB_RAZOAVEL / COMPRA_RAZOAVEL
Centro,apartamento,3,45,437.0,790.0,2100000.0,76286.0,107365.0,143683.0,3.63,5.11,6.84,AIRBNB_RAZOAVEL / COMPRA_RAZOAVEL
Meia Praia,apartamento,3,327,1697.0,655.0,1885000.0,65340.0,92038.0,123392.0,3.47,4.88,6.55,AIRBNB_RAZOAVEL / COMPRA_RAZOAVEL
Meia Praia,apartamento,4,60,1323.0,1012.0,3600000.0,98122.0,137943.0,185715.0,2.73,3.83,5.16,AIRBNB_RAZOAVEL / COMPRA_RAZOAVEL
Meia Praia,outros,1,11,,160.0,,16142.0,22703.0,30613.0,,,,AIRBNB_BAIXA / NAO_COMPARAVEL
